Obec{nazev='Jihlava', psc=6105, pocetZen=48420, pocetMuzu=49447, celkem=97867}
Obec{nazev='Praha 15', psc=1115, pocetZen=19408, pocetMuzu=20866, celkem=40274}
Obec{nazev='Uhersky Brod', psc=7208, pocetZen=26163, pocetMuzu=26946, celkem=53109}
Obec{nazev='Nove Mesto na Morave', psc=6108, pocetZen=9678, pocetMuzu=9667, celkem=19345}
Obec{nazev='Usti nad Labem', psc=4214, pocetZen=57634, pocetMuzu=61144, celkem=118778}
Obec{nazev='Chomutov', psc=4203, pocetZen=39387, pocetMuzu=40840, celkem=80227}
Obec{nazev='Litvinov', psc=4206, pocetZen=19303, pocetMuzu=19611, celkem=38914}
Obec{nazev='Dobruska', psc=5202, pocetZen=9883, pocetMuzu=10193, celkem=20076}
Obec{nazev='Zlin', psc=7213, pocetZen=47519, pocetMuzu=51235, celkem=98754}
Obec{nazev='Praha 12', psc=1112, pocetZen=28495, pocetMuzu=30554, celkem=59049}
Obec{nazev='Ostrov', psc=4106, pocetZen=13618, pocetMuzu=14142, celkem=27760}
Obec{nazev='Hodonin', psc=6206, pocetZen=30153, pocetMuzu=31201, celkem=61354}
Obec{nazev='Decin', psc=4202, pocetZen=38434, pocetMuzu=39490, celkem=77924}
Obec{nazev='Uherske Hradiste', psc=7207, pocetZen=43788, pocetMuzu=46314, celkem=90102}
Obec{nazev='Blovice', psc=3201, pocetZen=5724, pocetMuzu=5801, celkem=11525}
Obec{nazev='Benesov', psc=2101, pocetZen=27730, pocetMuzu=28575, celkem=56305}
Obec{nazev='Louny', psc=4207, pocetZen=21298, pocetMuzu=22087, celkem=43385}
Obec{nazev='Karvina', psc=8111, pocetZen=34277, pocetMuzu=35494, celkem=69771}
Obec{nazev='Holice', psc=5303, pocetZen=8426, pocetMuzu=8658, celkem=17084}
Obec{nazev='Mohelnice', psc=7106, pocetZen=9234, pocetMuzu=9430, celkem=18664}
Obec{nazev='Prachatice', psc=3109, pocetZen=16641, pocetMuzu=16710, celkem=33351}
Obec{nazev='Milevsko', psc=3107, pocetZen=9197, pocetMuzu=9362, celkem=18559}
Obec{nazev='Frydek-Mistek', psc=8106, pocetZen=54024, pocetMuzu=56059, celkem=110083}
Obec{nazev='Nove Mesto nad Metuji', psc=5211, pocetZen=6954, pocetMuzu=7318, celkem=14272}
Obec{nazev='Praha 7', psc=1107, pocetZen=18262, pocetMuzu=19743, celkem=38005}
Obec{nazev='Sternberk', psc=7110, pocetZen=11760, pocetMuzu=12049, celkem=23809}
Obec{nazev='Tanvald', psc=5108, pocetZen=10400, pocetMuzu=10665, celkem=21065}
Obec{nazev='Podborany', psc=4210, pocetZen=7885, pocetMuzu=7846, celkem=15731}
Obec{nazev='Karlovy Vary', psc=4103, pocetZen=41603, pocetMuzu=43836, celkem=85439}
Obec{nazev='Trinec', psc=8121, pocetZen=27005, pocetMuzu=28183, celkem=55188}
Obec{nazev='Praha 13', psc=1113, pocetZen=26275, pocetMuzu=28473, celkem=54748}
Obec{nazev='Prostejov', psc=7108, pocetZen=47997, pocetMuzu=50515, celkem=98512}
Obec{nazev='Hustopece', psc=6207, pocetZen=17370, pocetMuzu=17790, celkem=35160}
Obec{nazev='Trebic', psc=6113, pocetZen=37016, pocetMuzu=38167, celkem=75183}
Obec{nazev='Svetla nad Sazavou', psc=6111, pocetZen=9969, pocetMuzu=9928, celkem=19897}
Obec{nazev='Kutna Hora', psc=2112, pocetZen=23832, pocetMuzu=24602, celkem=48434}
Obec{nazev='Chotebor', psc=6104, pocetZen=11091, pocetMuzu=11209, celkem=22300}
Obec{nazev='Kaplice', psc=3106, pocetZen=9342, pocetMuzu=9257, celkem=18599}
Obec{nazev='Orlova', psc=8118, pocetZen=22308, pocetMuzu=22880, celkem=45188}
Obec{nazev='Kralupy nad Vltavou', psc=2111, pocetZen=14068, pocetMuzu=14644, celkem=28712}
Obec{nazev='Cesky Brod', psc=2106, pocetZen=9268, pocetMuzu=9630, celkem=18898}
Obec{nazev='Pisek', psc=3108, pocetZen=25150, pocetMuzu=26198, celkem=51348}
Obec{nazev='Prerov', psc=7109, pocetZen=40299, pocetMuzu=42329, celkem=82628}
Obec{nazev='Votice', psc=2126, pocetZen=6020, pocetMuzu=6227, celkem=12247}
Obec{nazev='Vsetin', psc=7212, pocetZen=32978, pocetMuzu=34086, celkem=67064}
Obec{nazev='Beroun', psc=2102, pocetZen=27341, pocetMuzu=28298, celkem=55639}
Obec{nazev='Boskovice', psc=6202, pocetZen=25070, pocetMuzu=25825, celkem=50895}
Obec{nazev='Trutnov', psc=5214, pocetZen=31553, pocetMuzu=32494, celkem=64047}
Obec{nazev='Litomysl', psc=5307, pocetZen=12936, pocetMuzu=13424, celkem=26360}
Obec{nazev='Tisnov', psc=6217, pocetZen=14406, pocetMuzu=14889, celkem=29295}
Obec{nazev='Rakovnik', psc=2121, pocetZen=26407, pocetMuzu=27096, celkem=53503}
Obec{nazev='Trhove Sviny', psc=3113, pocetZen=9227, pocetMuzu=9090, celkem=18317}
Obec{nazev='Cesky Tesin', psc=8104, pocetZen=12727, pocetMuzu=13321, celkem=26048}
Obec{nazev='Koprivnice', psc=8112, pocetZen=20475, pocetMuzu=21013, celkem=41488}
Obec{nazev='Jaromer', psc=5206, pocetZen=9562, pocetMuzu=9650, celkem=19212}
Obec{nazev='Moravska Trebova', psc=5308, pocetZen=13363, pocetMuzu=13497, celkem=26860}
